path,verdict
/home/jupyter/mnt/datasets/pictures/pic_425408.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_876907.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_225753.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_661384.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_603314.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_1101192.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_253969.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_566701.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_629773.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_531462.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_1014152.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_389405.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_153930.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_446759.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_22641.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_894036.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_1099431.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_1044600.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_842353.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_1124500.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_919826.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_1020881.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_116833.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_158172.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_319423.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_1010497.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_177421.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_1011319.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_258033.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_267984.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_737835.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_9795.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_181624.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_1081834.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_757210.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_139430.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_655548.jpg,clean_photo
/home/jupyter/mnt/datasets/pictures/pic_445999.jpg,clean_photo
